Unnamed: 0," (مليون ريال)
 (Million Riyals)"," (مليون ريال)
 (Million Riyals).1"," (مليون ريال)
 (Million Riyals).2"
"نهاية الفترة
End of Period",الاستثمارات المحلية,الاستثمارات الأجنبية ,الإجمالي Total
" عام  2024م
Year 2024",24184,12786,87679
" عام 2025م
Year 2025",32636,18073,50709
*بيانات سنوية,-,-,-
