العاملين في القطاع الخاص ,,,,,,,,,,المنشأت في القطاع الخاص ,,,,,,,,,
تصنيف العاملين في القطلاع الخاص (سعودي/غير سعودي),,,,,,تصنيف العاملين في القطاع الخاص حسب المهنة,,,,تصنيف المنشآت حسب النوع (رئيسي/فرعي),,,,,تصنيف المنشآت في القطاع الخاص حسب عدة ابعاد ,,,,
سعودي,," 2,316,565 ",,,,المهنة,اجمالي العاملين,,,نوع المنشآة,,العدد,,,المنطقة, النشاط الاقتصادي,حجم المنشأة,لون النطاق,عدد المنشأت 
,,,,,,صانع قوالب معدنية,348,,,,,,,,نجران,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",صغيرة (فئة أ),اخضر صغير (فئة أ),1
,,,,,,صانع قوالب وادوات,5,,,,,,,,نجران,التشييد,صغيرة (فئة أ),اخضر صغير (فئة أ),"5,449"
,,,,,,صانع لبان (علك),0,,,,,,,,نجران,التعدين واستغلال المحاجر,صغيرة (فئة أ),اخضر صغير (فئة أ),100
,,,,,,صانع لوحات طباعة اوفست,28,,,,,,,,نجران,التعليم,صغيرة (فئة أ),اخضر صغير (فئة أ),41
,,,,,,صانع مثلجات,0,,,,,,,,نجران,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة أ),اخضر صغير (فئة أ),824
,,,,,,صانع مخللات (طرشي),1,,,,,,,,نجران,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة أ),اخضر صغير (فئة أ),"1,189"
,,,,,,صانع مراتب,177,,,,,,,,نجران,الصناعة التحويلية,صغيرة (فئة أ),اخضر صغير (فئة أ),"2,376"
,,,,,,صانع مشغولات معدنية,13,,,,,,,,نجران,الفنون والترفيه والتسلية,صغيرة (فئة أ),اخضر صغير (فئة أ),121
,,,,,,صانع معجنات,1032,,,,,,,,نجران,المعلومات والاتصالات,صغيرة (فئة أ),اخضر صغير (فئة أ),74
,,,,,,صانع معجنات و فطائر,2582,,,,,,,,نجران,النقل والتخزين,صغيرة (فئة أ),اخضر صغير (فئة أ),"1,462"
,,,,,,صانع مكرونة عام,0,,,,,,,,نجران,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة أ),اخضر صغير (فئة أ),"6,993"
,,,,,,صانع منتجات ألبان,703,,,,,,,,نجران,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة أ),اخضر صغير (فئة أ),24
,,,,,,صانع منتجات البان عام,54,,,,,,,,الرياض,النقل والتخزين,صغيرة (فئة أ),اخضر متوسط,2
,,,,,,صانع منتجات جلدية,124,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة أ),اخضر متوسط,1
,,,,,,صانع منتجات جلود عام,0,,,,,,,,مكة المكرمة,الصناعة التحويلية,صغيرة (فئة أ),اخضر متوسط,1
,,,,,,صانع منتجات لحوم,1,,,,,,,,الباحة,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,14
,,,,,,صانع نماذج,27,,,,,,,,الباحة,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,32
,,,,,,صانع نماذج احذية,0,,,,,,,,الباحة,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,125
,,,,,,صانع نماذج للمنتجات الخزفية,1,,,,,,,,الباحة,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,4
,,,,,,صانع نماذج معمارية (ماكيت),38,,,,,,,,الباحة,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,6
,,,,,,صانع نماذج ملابس,25,,,,,,,,الباحة,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,صانع ومصلح آلات موسيقية نفخية,2,,,,,,,,الباحة,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,5
,,,,,,صانع ومصلح آلات موسيقية وترية,3,,,,,,,,الباحة,التشييد,صغيرة (فئة ب),اخضر متوسط,112
,,,,,,صانع ومفصل احذية عام,1,,,,,,,,الباحة,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,صائغ,3677,,,,,,,,الباحة,التعليم,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,صائغ زخرفة معادن ثمينة وطلاء بالمينا,263,,,,,,,,الباحة,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,19
,,,,,,صباغ خيوط,14,,,,,,,,الباحة,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,3
,,,,,,صحفي,47,,,,,,,,الباحة,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,78
,,,,,,صراف,9601,,,,,,,,الباحة,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,صراف اوراق مالية وعملة,164,,,,,,,,الباحة,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,صراف بنك,4170,,,,,,,,الباحة,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,8
,,,,,,صراف عملات,753,,,,,,,,الباحة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,347
,,,,,,صراف نقود في المؤسسات التجارية,22,,,,,,,,الجوف,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,25
,,,,,,صقال احذية,0,,,,,,,,الجوف,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,51
,,,,,,صقال العدسات,14,,,,,,,,الجوف,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,97
,,,,,,صقل الزجاج,0,,,,,,,,الجوف,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,15
,,,,,,صياد أسماك ساحلي,3170,,,,,,,,الجوف,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,صياد أعالي البحار,26,,,,,,,,الجوف,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,4
,,,,,,صياد اكتفاء ذاتي أسماك,1,,,,,,,,الجوف,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,3
,,,,,,صياد بحري عام,484,,,,,,,,الجوف,التشييد,صغيرة (فئة ب),اخضر متوسط,118
,,,,,,صياد بري,1,,,,,,,,الجوف,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,صياد سمك بحري,7380,,,,,,,,الجوف,التعليم,صغيرة (فئة ب),اخضر متوسط,15
,,,,,,صياد سمك مياه داخلية,1,,,,,,,,الجوف,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,26
,,,,,,صياد قشريات,2,,,,,,,,الجوف,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,24
,,,,,,صيدلي,32196,,,,,,,,الجوف,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,62
,,,,,,صيدلي رعاية صيدلانية,70,,,,,,,,الجوف,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,8
,,,,,,ضابط اتصال,7,,,,,,,,الجوف,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,ضابط استخبارات,1,,,,,,,,الجوف,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,31
,,,,,,ضابط أمن ,2179,,,,,,,,الجوف,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,462
,,,,,,ضابط أمن داخلي,85,,,,,,,,الحدود الشمالية,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,7
,,,,,,ضابط سلامة وصحة مهنية,486,,,,,,,,الحدود الشمالية,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,18
,,,,,,ضابط صف,1,,,,,,,,الحدود الشمالية,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,75
,,,,,,ضابط صف أمن,5,,,,,,,,الحدود الشمالية,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,9
,,,,,,ضابط صف أمن داخلي,0,,,,,,,,الحدود الشمالية,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,3
,,,,,,ضابط علاقات عامة,3552,,,,,,,,الحدود الشمالية,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,4
,,,,,,ضابط عمليات طيران,1,,,,,,,,الحدود الشمالية,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,3
,,,,,,طابع عام,271,,,,,,,,الحدود الشمالية,التشييد,صغيرة (فئة ب),اخضر متوسط,73
,,,,,,طالب,8,,,,,,,,الحدود الشمالية,التعليم,صغيرة (فئة ب),اخضر متوسط,7
,,,,,,طاهي,95001,,,,,,,,الحدود الشمالية,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,21
,,,,,,طاهي اطعمة اجنبية,10,,,,,,,,الحدود الشمالية,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,طاهي اطعمة عربية,9,,,,,,,,الحدود الشمالية,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,32
,,,,,,طاهي عام,1267,,,,,,,,الحدود الشمالية,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,6
,,,,,,طاهي مأكولات منزلية,42,,,,,,,,الحدود الشمالية,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,24
,,,,,,طاهي وسائل نقل,39,,,,,,,,الحدود الشمالية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,228
,,,,,,طباخ اسماك,23,,,,,,,,الرياض,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,"2,693"
,,,,,,طباخ تمور,19,,,,,,,,الرياض,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,"1,095"
,,,,,,طباخ فواكه  وخضروات عام,1657,,,,,,,,الرياض,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,"1,929"
,,,,,,طباخ منزلي,136,,,,,,,,الرياض,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,302
,,,,,,طباع,1076,,,,,,,,الرياض,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,18
,,,,,,طباع بالاختام,2,,,,,,,,الرياض,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,49
,,,,,,طباع بالشيكة الحريرية,1,,,,,,,,الرياض,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,351
,,,,,,طباع صور فوتغرافية,3,,,,,,,,الرياض,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,624
,,,,,,طباع عام,49,,,,,,,,الرياض,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",صغيرة (فئة ب),اخضر متوسط,1
,,,,,,طباع نسيج,0,,,,,,,,الرياض,التشييد,صغيرة (فئة ب),اخضر متوسط,"3,481"
,,,,,,طبيب,2859,,,,,,,,الرياض,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,40
,,,,,,طبيب اختصاصي اشعة,79,,,,,,,,الرياض,التعليم,صغيرة (فئة ب),اخضر متوسط,261
,,,,,,طبيب اختصاصي امراض الدم,7,,,,,,,,الرياض,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,871
,,,,,,طبيب اختصاصي امراض مهنية,10,,,,,,,,الرياض,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,212
,,,,,,طبيب اختصاصي امراض نفسية,33,,,,,,,,الرياض,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,"1,925"
,,,,,,طبيب اختصاصي امعاء وقولون,3,,,,,,,,الرياض,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,170
,,,,,,طبيب اختصاصي انف واذن وحنجره,18,,,,,,,,الرياض,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,524
,,,,,,طبيب اختصاصي اوعية دموية,3,,,,,,,,الرياض,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,"1,035"
,,,,,,طبيب اختصاصي باطني,98,,,,,,,,الرياض,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,"8,127"
,,,,,,طبيب اختصاصي تخدير,35,,,,,,,,الرياض,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),اخضر متوسط,71
,,,,,,طبيب اختصاصي تناسلية,4,,,,,,,,الشرقية,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,240
,,,,,,طبيب اختصاصي تنظير,2,,,,,,,,الشرقية,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,646
,,,,,,طبيب اختصاصي جراحة فم واسنان,95,,,,,,,,الشرقية,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,"1,597"
,,,,,,طبيب اختصاصي جلدية,53,,,,,,,,الشرقية,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,99
,,,,,,طبيب اختصاصي حساسية,2,,,,,,,,الشرقية,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طبيب اختصاصي دماغ واعصاب,16,,,,,,,,الشرقية,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,37
,,,,,,طبيب اختصاصي شرعي,1,,,,,,,,الشرقية,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,96
,,,,,,طبيب اختصاصي صحة عام,123,,,,,,,,الشرقية,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,169
,,,,,,طبيب اختصاصي صدر,30,,,,,,,,الشرقية,التشييد,صغيرة (فئة ب),اخضر متوسط,"2,391"
,,,,,,طبيب اختصاصي طب المناطق الحارة,3,,,,,,,,الشرقية,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طبيب اختصاصي طب رياضي,1,,,,,,,,الشرقية,التعليم,صغيرة (فئة ب),اخضر متوسط,112
,,,,,,طبيب اختصاصي طب عام,2606,,,,,,,,الشرقية,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,410
,,,,,,طبيب اختصاصي طب نووي,11,,,,,,,,الشرقية,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,134
,,,,,,طبيب اختصاصي عظام,19,,,,,,,,الشرقية,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,"1,205"
,,,,,,طبيب اختصاصي علاج طبيعي,321,,,,,,,,الشرقية,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,74
,,,,,,طبيب اختصاصي عيون,58,,,,,,,,الشرقية,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,117
,,,,,,طبيب اختصاصي غدد,15,,,,,,,,الشرقية,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,483
,,,,,,طبيب اختصاصي قلب,18,,,,,,,,الشرقية,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,"4,792"
,,,,,,طبيب اختصاصي مسالك بولية,11,,,,,,,,الشرقية,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),اخضر متوسط,19
,,,,,,طبيب اختصاصي نساء وولادة,75,,,,,,,,القصيم,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,105
,,,,,,طبيب اختصاصي نقل دم,5,,,,,,,,القصيم,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,136
,,,,,,طبيب أخصائي,4006,,,,,,,,القصيم,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,348
,,,,,,طبيب استشاري,166,,,,,,,,القصيم,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,31
,,,,,,طبيب أسرة,296,,,,,,,,القصيم,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,طبيب أسنان أطفال,168,,,,,,,,القصيم,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,19
,,,,,,طبيب أسنان الأسرة,169,,,,,,,,القصيم,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,17
,,,,,,طبيب اسنان صحة عام,0,,,,,,,,القصيم,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,24
,,,,,,طبيب أسنان عام,7551,,,,,,,,القصيم,التشييد,صغيرة (فئة ب),اخضر متوسط,567
,,,,,,طبيب اسنان عام,2118,,,,,,,,القصيم,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,طبيب أشعة تشخيصية,391,,,,,,,,القصيم,التعليم,صغيرة (فئة ب),اخضر متوسط,25
,,,,,,طبيب أطفال,1623,,,,,,,,القصيم,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,123
,,,,,,طبيب أعصاب الأطفال,4,,,,,,,,القصيم,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,52
,,,,,,طبيب أمراض الدم,63,,,,,,,,القصيم,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,291
,,,,,,طبيب أمراض جلدية,1836,,,,,,,,القصيم,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,11
,,,,,,طبيب أمراض حساسية ومناعة,10,,,,,,,,القصيم,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,10
,,,,,,طبيب أمراض رثوية,17,,,,,,,,القصيم,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,132
,,,,,,طبيب أمراض غدد صماء,50,,,,,,,,القصيم,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,"1,272"
,,,,,,طبيب أمراض وراثية,3,,,,,,,,القصيم,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,طبيب باطني,1439,,,,,,,,المدينة,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,99
,,,,,,طبيب بيطري,3640,,,,,,,,المدينة,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,173
,,,,,,طبيب بيطري اختصاصي دواجن,0,,,,,,,,المدينة,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,590
,,,,,,طبيب بيطري اختصاصي مواشي,0,,,,,,,,المدينة,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,36
,,,,,,طبيب بيطري صحة عام,0,,,,,,,,المدينة,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,طبيب بيطري عام,95,,,,,,,,المدينة,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طبيب تخدير,614,,,,,,,,المدينة,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,33
,,,,,,طبيب تقويم أسنان ووجه وفكين,1210,,,,,,,,المدينة,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,36
,,,,,,طبيب جراح,652,,,,,,,,المدينة,التشييد,صغيرة (فئة ب),اخضر متوسط,673
,,,,,,طبيب جراح أنف وأذن وحنجرة ورأس وعنق,430,,,,,,,,المدينة,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,7
,,,,,,طبيب جراح تجميل,147,,,,,,,,المدينة,التعليم,صغيرة (فئة ب),اخضر متوسط,48
,,,,,,طبيب جراح عظام,487,,,,,,,,المدينة,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,134
,,,,,,طبيب جراح عيون,596,,,,,,,,المدينة,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,38
,,,,,,طبيب جراح قلب وصدر,43,,,,,,,,المدينة,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,258
,,,,,,طبيب جراح مخ وأعصاب,60,,,,,,,,المدينة,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,21
,,,,,,طبيب جهاز تنفسي,63,,,,,,,,المدينة,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,10
,,,,,,طبيب جهاز هضمي,51,,,,,,,,المدينة,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,94
,,,,,,طبيب شرعي,6,,,,,,,,المدينة,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,"1,776"
,,,,,,طبيب صحة عامة,1160,,,,,,,,المدينة,لأنشطة المالية وأنشطة التأمين,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,طبيب صحة عامة أسنان,226,,,,,,,,تبوك,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,40
,,,,,,طبيب طوارئ,651,,,,,,,,تبوك,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,79
,,,,,,طبيب عام,8827,,,,,,,,تبوك,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,217
,,,,,,طبيب علاج إشعاعي,553,,,,,,,,تبوك,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طبيب علاج طبيعي,388,,,,,,,,تبوك,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,6
,,,,,,طبيب عناية مركزة,147,,,,,,,,تبوك,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,8
,,,,,,طبيب فم ووجه وفكين,227,,,,,,,,تبوك,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,16
,,,,,,طبيب قلب وأوعية دموية,261,,,,,,,,تبوك,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,11
,,,,,,طبيب كلى,173,,,,,,,,تبوك,التشييد,صغيرة (فئة ب),اخضر متوسط,252
,,,,,,طبيب مخ وأعصاب,80,,,,,,,,تبوك,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,طبيب مختبرات,218,,,,,,,,تبوك,التعليم,صغيرة (فئة ب),اخضر متوسط,12
,,,,,,طبيب معالجة لبية,116,,,,,,,,تبوك,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,39
,,,,,,طبيب مقيم اشعة فوق صوتية,0,,,,,,,,تبوك,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,32
,,,,,,طبيب مقيم طوارىء,2,,,,,,,,تبوك,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,100
,,,,,,طبيب ممارس عام,1328,,,,,,,,تبوك,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طبيب نساء وولادة,1991,,,,,,,,تبوك,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,5
,,,,,,طبيب نفسي,175,,,,,,,,تبوك,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,59
,,,,,,طحان توابل,1,,,,,,,,تبوك,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,728
,,,,,,طحان حبوب عام,9,,,,,,,,جازان,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,52
,,,,,,طحان خامات,7,,,,,,,,جازان,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,85
,,,,,,طيار تجاري,682,,,,,,,,جازان,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,333
,,,,,,طيار تدريب,78,,,,,,,,جازان,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,13
,,,,,,طيار جناح ثابت,740,,,,,,,,جازان,إمدادات الكهرباء والغاز والبخار وتكييف الهواء,صغيرة (فئة ب),اخضر متوسط,1
,,,,,,طيار زراعي,0,,,,,,,,جازان,إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها,صغيرة (فئة ب),اخضر متوسط,4
,,,,,,طيار سمتيات هليوكبتر,2,,,,,,,,جازان,الأنشطة العقارية,صغيرة (فئة ب),اخضر متوسط,18
,,,,,,طيار عام لغير النقل,3,,,,,,,,جازان,الأنشطة المهنية والعلمية والتقنية,صغيرة (فئة ب),اخضر متوسط,18
,,,,,,طيار هليكوبتر,179,,,,,,,,جازان,"الإدارة العامة والدفاع , الضمان الاجتماعي الالزامي",صغيرة (فئة ب),اخضر متوسط,1
,,,,,,عارض,46,,,,,,,,جازان,التشييد,صغيرة (فئة ب),اخضر متوسط,235
,,,,,,عارض أزياء,10,,,,,,,,جازان,التعدين واستغلال المحاجر,صغيرة (فئة ب),اخضر متوسط,4
,,,,,,عارض خيل,5,,,,,,,,جازان,التعليم,صغيرة (فئة ب),اخضر متوسط,15
,,,,,,عازف آلة موسيقية,178,,,,,,,,جازان,الخدمات الإدارية وخدمات الدعم,صغيرة (فئة ب),اخضر متوسط,41
,,,,,,عازف موسيقي,5,,,,,,,,جازان,الزراعة والحراجة وصيد الأسماك,صغيرة (فئة ب),اخضر متوسط,35
,,,,,,عالم أبحاث (طبية),0,,,,,,,,جازان,الصناعة التحويلية,صغيرة (فئة ب),اخضر متوسط,124
,,,,,,عالم أو خبير,4,,,,,,,,جازان,الفنون والترفيه والتسلية,صغيرة (فئة ب),اخضر متوسط,12
,,,,,,عامل,638398,,,,,,,,جازان,المعلومات والاتصالات,صغيرة (فئة ب),اخضر متوسط,2
,,,,,,عامل ازالة اللحم والشحم من جلود الفرو,27,,,,,,,,جازان,النقل والتخزين,صغيرة (فئة ب),اخضر متوسط,43
,,,,,,عامل اسطبل,175,,,,,,,,جازان,تجارة الجملة والتجزئة وإصلاح المركبات ذات المحركات والدرجات النارية,صغيرة (فئة ب),اخضر متوسط,"1,033"
,,,,,,عامل اشارة,1328,,,,,,,,حائل,غير خاضعة لانشطة ISIC4,صغيرة (فئة ب),اخضر متوسط,95
,,,,,,عامل اشارة منجم,2,,,,,,,,حائل,أنشطة الخدمات الأخرى,صغيرة (فئة ب),اخضر متوسط,86
,,,,,,عامل اصلاح المناشير وسنها,3,,,,,,,,حائل,أنشطة خدمات الاقامة والطعام,صغيرة (فئة ب),اخضر متوسط,142
,,,,,,عامل اصلاح جواهر ثمينة,62,,,,,,,,حائل,أنشطة صحة الانسان والعمل الاجتماعي,صغيرة (فئة ب),اخضر متوسط,20
