Year;Country;Value (Kb/d);Growth rate per annum 2021;Growth rate per annum 2011-21;Share 2021
1965;Mexico;362.0;0.008399590758943809;-0.04134261126609773;0.021447657586514964
1965;Venezuela;3503.0;0.021181739818512346;-0.13394124958545395;0.007276968172059719
1965;Other Europe;470.47194520547936;-0.01331744869897089;-0.016014041041597427;0.0031836959922757926
1965;Russian Federation;0.0;0.0259857799039811;0.003829406109763678;0.12176380683962577
1965;Other CIS;0.0;0.009843248581402397;0.00992507322077918;0.00044202774865827356
1965;Syria;0.0;1.2322452830603248;-0.12202203231432995;0.0010684326874164487
1965;Sudan;0.0;0.011316056080317383;-0.14042020436364788;0.000713034224529678
1965;Brunei;79.99999999999999;-0.03156361017471021;-0.042996666803827854;0.0011855572586830063
1965;India;62.34427397260275;-0.03193165165427181;-0.022505178073259358;0.008301179800558844
1965;Indonesia;486.00000000000006;-0.06802891313886739;-0.031486219917371105;0.007694437644600682
1965;Thailand;0.0;-0.05325556726463476;-0.007443437542828613;0.004429631594503935
1965;Non-OECD;20773.724904109586;0.01949278875364291;-0.004849740898160371;0.6839519600707346
1965;Non-OPEC;18091.25389041096;0.008257326812303845;0.015899100250315934;0.6467892451078547
1966;Argentina;292.86410958904116;0.04446044334881449;-0.0061333912486202236;0.006980921191439775
1966;Ecuador;7.0;-0.013555296707416287;-0.005683478547010901;0.00526133980276409
1966;Trinidad & Tobago;153.0;0.005146397625773513;-0.05570469569190595;0.0008522323203223141
1966;Turkmenistan;0.0;0.15295127667772968;0.007527006661025348;0.002807356146183693
1966;USSR;5302.0;;;0.0
1966;Iran;2132.0;0.17380025940337207;-0.020484304153571276;0.04027732125202149
1966;Qatar;290.99999999999994;0.01863884943529248;-0.004373673468206385;0.019427799319937964
1966;United Arab Emirates;360.0;-0.0069035508107067045;0.01062166278475929;0.04081028431245729
1966;Chad;0.0;-0.07739092430558159;0.0024234194310526203;0.0012960426251119768
1966;Gabon;28.979643835616447;-0.1273702023440476;-0.026300843778524374;0.0020138660626010745
1966;Nigeria;417.6;-0.11071357403769111;-0.04054020661502922;0.01808623054191415
1966;South Sudan;0.0;-0.07259663781841252;;0.0016976445270429786
1966;Sudan;0.0;0.011316056080317383;-0.14042020436364788;0.000713034224529678
1966;Tunisia;16.243808219178085;0.2131251041424982;-0.04635888909716546;0.0005061458129315255
1966;Thailand;0.0;-0.05325556726463476;-0.007443437542828613;0.004429631594503935
1966;Non-OPEC;19449.943827397256;0.008257326812303845;0.015899100250315934;0.6467892451078547
