ID,File,Publisher,Size
ENE-01,oil-production-in-kbd.csv,Ministry of Energy,314 KB
ENE-02,real-gross-domestic-product-by-kind-of-economic-activity-2023-100.csv,GASTAT,484 KB
ENE-03,seasonally-adjusted-real-gross-domestic-product-by-main-economic-activities-2023-100.csv,GASTAT,94 KB
