ID,File,Publisher,Size
EDU-01,Accepted in technical colleges across.csv,Technical and Vocational Training Corporation,1.1 KB
EDU-02,General Aptitude Test csv.csv,National Centre for Assessment (ETEC),133 KB
EDU-03,Names of Private education Schools Foreign csv.csv,Ministry of Education,511 KB
EDU-04,Number of Students Identified as Gifted.csv,Mawhiba Foundation,2.4 KB
EDU-05,Total graduates by gender and nationality.csv,Ministry of Education,11.9 KB
EDU-06,Total students.csv,Ministry of Education,442 KB
