ID,File,Publisher,Size
HEA-01,Births at KSA Hospitals by Type of Delivery.csv,Ministry of Health,<1 KB (empty)
HEA-02,Classified Physical Therapy Specialists 2025.csv,Saudi Commission for Health Specialties,4.5 KB
HEA-03,Health Manpower in KSA Health Sectors Five Years.csv,Ministry of Health,4.1 KB
HEA-04,Health Manpower in KSA Health Sectors-2.csv,Ministry of Health,4.6 KB
HEA-05,Health Manpower in KSA Health Sectors.csv,Ministry of Health,3.0 KB
HEA-06,Hospitals and Beds in All Health Sectors.csv,Ministry of Health,<1 KB
HEA-07,Inpatients in Health Sectors Hospitals  KSA.csv,Ministry of Health,<1 KB
HEA-08,Inpatients in Health Sectors Hospitals KSA.csv,Ministry of Health,<1 KB
HEA-09,Pilgrims From Inside and Outside the Kingdom.csv,General Authority for Statistics (GASTAT),<1 KB
