Database,Total hits,Relevant,Notes
Scopus,12,1,Alogaiel & Alrwais (2023); pre-redesign portal
Web of Science,8,1,Alogaiel & Alrwais (2023); duplicate
IEEE Xplore,5,0,No portal-audit hits
ACM Digital Library,3,0,No portal-audit hits
Google Scholar,47,2,Alogaiel & Alrwais (2023); one tangential Saudi paper
Total (deduplicated),62,2,Both pre-2023 or tangential
