السنة,السنة ميلادي,المنطقة الإدارية,الإدارة العامة بمنطقة/محافظة,إدارة التعليم,المرحلة ,السلطة,مكتب التعليم,جنس المدرسة, جملة سعودي,جملة غير سعودي, جملة طلاب
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,عالمي وأجنبي,مكتب التعليم بالوسط,بنات,6,4,10
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة الثانوية,عالمي وأجنبي,مكتب التعليم بالوسط,بنين,7,9,16
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,أهلي,مكتب التعليم بالوسط,بنات,14,0,14
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,أهلي,مكتب التعليم بالوسط,بنين,25,3,28
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالعقيق,بنات,1278,63,1341
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالعقيق,بنين,1257,53,1310
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالمندق,بنات,1310,47,1357
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالمندق,بنين,1435,68,1503
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالوسط,بنات,3397,311,3708
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,حكومي,مكتب التعليم بالوسط,بنين,3494,326,3820
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,عالمي وأجنبي,مكتب التعليم بالوسط,بنات,13,34,47
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,المرحلة المتوسطة,عالمي وأجنبي,مكتب التعليم بالوسط,بنين,20,65,85
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,رياض الأطفال,أهلي,مكتب التعليم بالوسط,بنات,362,56,418
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,رياض الأطفال,حكومي,مكتب التعليم بالعقيق,بنات,799,0,799
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,رياض الأطفال,حكومي,مكتب التعليم بالمندق,بنات,780,1,781
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,رياض الأطفال,حكومي,مكتب التعليم بالوسط,بنات,1392,2,1394
1446,2025,الباحة,الباحة,الإدارة العامة للتعليم بمنطقة الباحة,رياض الأطفال,عالمي وأجنبي,مكتب التعليم بالوسط,بنات,65,60,125
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الإبتدائية,أهلي,إدارة الإشراف التربوي,بنات,1256,115,1371
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الإبتدائية,أهلي,إدارة الإشراف التربوي,بنين,1682,120,1802
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنات,20597,957,21554
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الإبتدائية,حكومي,إدارة الإشراف التربوي,بنين,7815,272,8087
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الإبتدائية,عالمي وأجنبي,إدارة الإشراف التربوي,بنات,25,18,43
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الثانوية,أهلي,إدارة الإشراف التربوي,بنات,773,59,832
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الثانوية,أهلي,إدارة الإشراف التربوي,بنين,1262,41,1303
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنات,5065,228,5293
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة الثانوية,حكومي,إدارة الإشراف التربوي,بنين,4606,245,4851
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة المتوسطة,أهلي,إدارة الإشراف التربوي,بنات,296,32,328
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة المتوسطة,أهلي,إدارة الإشراف التربوي,بنين,944,64,1008
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة المتوسطة,حكومي,إدارة الإشراف التربوي,بنات,6562,253,6815
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,المرحلة المتوسطة,حكومي,إدارة الإشراف التربوي,بنين,6010,250,6260
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,رياض الأطفال,أهلي,إدارة الإشراف التربوي,بنات,500,60,560
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,رياض الأطفال,حكومي,إدارة الإشراف التربوي,بنات,3135,8,3143
1446,2025,الجوف,الجوف,إدارة التعليم بمحافظة القريات,رياض الأطفال,عالمي وأجنبي,إدارة الإشراف التربوي,بنات,11,10,21
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بدومة الجندل,بنات,259,22,281
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بدومة الجندل,بنين,485,26,511
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بسكاكا,بنات,1528,53,1581
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بسكاكا,بنين,2066,125,2191
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بطبرجل,بنات,214,66,280
1446,2025,الجوف,الجوف,الإدارة العامة للتعليم بمنطقة الجوف,المرحلة الإبتدائية,أهلي,مكتب التعليم بطبرجل,بنين,753,134,887
