السنة ميلادي,السنة هجري,الإدارة العامة,اسم المدرسة,السلطة,المرحلة ,جنس المدرسة
2025,1446,الرياض,ابتدائية الامجاد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأمجاد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الأمريكية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الأوائل الأهلية قسم الدبلوما الأمريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأوزون العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الأوزون العالمية / أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الباكستانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الباكستانية العالمية / أردو,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية البراعة العالمية*,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية البريطانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية البريطانية العالمية (السفارات),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية البنجلاديشية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية البنجلاديشية العالمية / أردو,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التحدي الأولى العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التحدي العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية (دبلوما أمريكي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية الإسلامية (دبلوم امريكي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية الاسلامية دبلوم أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية الرقمية -برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية العالمية (العارض),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية العالمية (العارض),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية العالمية (القيروان),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية العصرية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية النموذجية - برنامج دولي - النزهة,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية النموذجية  برنامج دولي امريكي (الروابي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية النموذجية الأهلية (قرطبة2) برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية النموذجية القيروان برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية النموذجية القيروان برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية النموذجية النزهة برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية النموذجية برنامج دولي الروابي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية النموذجية(قرطبة) برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية والمعرفة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التربية والمهارات العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التربية والمهارات العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التركية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التضامن / المسار المصري,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التضامن العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التضامن العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التضامن المسار المصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التعلم الذكي - برنامج دولي -,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية التعلم الذكي الأهلية (برنامج دولي),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التعليم المتطور العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية التعليم المتطور العالمية.,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الثقافة الرقمية - القسم الدولى,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الثقافة الرقمية - القسم الدولى,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجامعة الاهلية (دبلوما امريكي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجامعة التطبيقية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الجامعة التطبيقية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجامعة الدولية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الجودة برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الجودة برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجودة مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الجودة مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجيل الجديد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الجيل الجديد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الجيل الواعد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الحديثة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الحديثة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الحصان العالمية-بريطاني,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الحصان العالمية -بريطاني,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الحصان النموذجية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الحصان النموذجية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الحياة المضيئة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الحياة المضيئة العالمية (المسار المصري),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الدانة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الدانة العالمية / فلبيني,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الدينهام العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الراية دبلوما,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرائد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرائد العالميه,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرسالة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرسالة العالمية السليمانية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرسالة العالمية ـالوزارات,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرسالة العالمية مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرقي الاهلية دبلوما امريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرمال العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرمال العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرواد -فرع اشبيليا-مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرواد الأهلية - اشبيليا - مسار مصري,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرواد الروابي  الأهلية دبلوما امريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرواد العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرواد المنصورة الأهلية - دبلوما امريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرؤية الجديدة (الوادي),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرؤية الجديدة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرؤية الجديدة العالمية (المنار),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرؤية الجديدة( الوادي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الريادة التعليمية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الريادة النموذجية برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرياض (مسار دولي أمريكي),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرياض العالمية (حطين),عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الرياض العالمية (حطين),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الرياض برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الزمير العالمية - بنات,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الزهور دبلوما امريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية السعودية ( دبلوما امريكي ),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية السعودية دبلوم أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية السكب العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية السكب العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية السليمانية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية السليمانية العالمية / فرنسي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية السمو العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية السيرلانكية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الشاملة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الشاملة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الشرق الأوسط الجديدة العالمية / الهندي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الشرق الاوسط الجديدة العالمية / هندي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الشرق الاوسط الحديثة العالمية / هندي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الشرق الاوسط العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الشرق الأوسط العالمية / بريطاني,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الشرق الاوسط العالمية أشبيليا,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الشرق الاوسط العالميه اشبيليا,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الصحافة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الصقر العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الصقر العالمية / امريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العرب العالمية الوشم,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العرب الوشم العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العرفان العالمية*,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العروبة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العروبة العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العلا العربية الدبلوما الأمريكية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العلم العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العلم العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العلمين العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العلمين العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العليا الأهلية دبلوما امريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العليا العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العليا العالمية /هندي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية العليا برنامج دولي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية العناية العالمية ( النرجس ),عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الغينية العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفارابي العالمية / أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنين
2025,1446,الرياض,ابتدائية الفارابي العالمية/أمريكي,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الفارس العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
2025,1446,الرياض,ابتدائية الفانوس العالمية,عالمي وأجنبي,المرحلة الإبتدائية,بنات
