السنة هجري,السنة ميلادي,الإدارة العامة,السلطة,الجنس,الجنسية, العدد
1446,2025,جدة,عالمي وأجنبي,ذكر,غير سعودي,746
1446,2025,جدة,عالمي وأجنبي,أنثى,سعودي,1058
1446,2025,جدة,عالمي وأجنبي,أنثى,غير سعودي,502
1446,2025,الطائف,حكومي,ذكر,سعودي,7862
1446,2025,الطائف,حكومي,ذكر,غير سعودي,701
1446,2025,الطائف,حكومي,أنثى,سعودي,8088
1446,2025,الطائف,حكومي,أنثى,غير سعودي,721
1446,2025,الطائف,أهلي,ذكر,سعودي,1535
1446,2025,الطائف,أهلي,ذكر,غير سعودي,128
1446,2025,الطائف,أهلي,أنثى,سعودي,1055
1446,2025,الطائف,أهلي,أنثى,غير سعودي,136
1446,2025,الطائف,عالمي وأجنبي,ذكر,سعودي,10
1446,2025,الطائف,عالمي وأجنبي,ذكر,غير سعودي,21
1446,2025,الطائف,عالمي وأجنبي,أنثى,سعودي,18
1446,2025,الطائف,عالمي وأجنبي,أنثى,غير سعودي,15
1446,2025,القصيم,حكومي,ذكر,سعودي,9642
1446,2025,القصيم,حكومي,ذكر,غير سعودي,682
1446,2025,القصيم,حكومي,أنثى,سعودي,10205
1446,2025,القصيم,حكومي,أنثى,غير سعودي,737
1446,2025,القصيم,أهلي,ذكر,سعودي,1860
1446,2025,القصيم,أهلي,ذكر,غير سعودي,299
1446,2025,القصيم,أهلي,أنثى,سعودي,1136
1446,2025,القصيم,أهلي,أنثى,غير سعودي,233
1446,2025,القصيم,عالمي وأجنبي,ذكر,سعودي,27
1446,2025,القصيم,عالمي وأجنبي,ذكر,غير سعودي,8
1446,2025,القصيم,عالمي وأجنبي,أنثى,سعودي,17
1446,2025,القصيم,عالمي وأجنبي,أنثى,غير سعودي,30
1446,2025,المدينة المنورة,حكومي,ذكر,سعودي,11865
1446,2025,المدينة المنورة,حكومي,ذكر,غير سعودي,1969
1446,2025,المدينة المنورة,حكومي,أنثى,سعودي,13643
1446,2025,المدينة المنورة,حكومي,أنثى,غير سعودي,2086
1446,2025,المدينة المنورة,أهلي,ذكر,سعودي,2461
1446,2025,المدينة المنورة,أهلي,ذكر,غير سعودي,281
1446,2025,المدينة المنورة,أهلي,أنثى,سعودي,1942
1446,2025,المدينة المنورة,أهلي,أنثى,غير سعودي,230
1446,2025,المدينة المنورة,عالمي وأجنبي,ذكر,سعودي,63
1446,2025,المدينة المنورة,عالمي وأجنبي,ذكر,غير سعودي,70
1446,2025,المدينة المنورة,عالمي وأجنبي,أنثى,سعودي,34
1446,2025,المدينة المنورة,عالمي وأجنبي,أنثى,غير سعودي,60
1446,2025,المدينة المنورة,الهيئة الملكية,ذكر,سعودي,443
1446,2025,المدينة المنورة,الهيئة الملكية,ذكر,غير سعودي,34
1446,2025,تبوك,حكومي,ذكر,سعودي,5402
1446,2025,تبوك,حكومي,ذكر,غير سعودي,395
1446,2025,تبوك,حكومي,أنثى,سعودي,6548
1446,2025,تبوك,حكومي,أنثى,غير سعودي,480
1446,2025,تبوك,أهلي,ذكر,سعودي,2334
1446,2025,تبوك,أهلي,ذكر,غير سعودي,138
1446,2025,تبوك,أهلي,أنثى,سعودي,1255
1446,2025,تبوك,أهلي,أنثى,غير سعودي,88
1446,2025,تبوك,عالمي وأجنبي,ذكر,سعودي,16
1446,2025,تبوك,عالمي وأجنبي,ذكر,غير سعودي,6
1446,2025,تبوك,عالمي وأجنبي,أنثى,سعودي,9
1446,2025,تبوك,عالمي وأجنبي,أنثى,غير سعودي,3
1446,2025,جازان,حكومي,ذكر,سعودي,11843
1446,2025,جازان,حكومي,ذكر,غير سعودي,1408
1446,2025,جازان,حكومي,أنثى,سعودي,12194
1446,2025,جازان,حكومي,أنثى,غير سعودي,1587
1446,2025,جازان,أهلي,ذكر,سعودي,494
1446,2025,جازان,أهلي,ذكر,غير سعودي,73
1446,2025,جازان,أهلي,أنثى,سعودي,209
1446,2025,جازان,أهلي,أنثى,غير سعودي,46
1446,2025,جازان,عالمي وأجنبي,ذكر,سعودي,4
1446,2025,جازان,عالمي وأجنبي,ذكر,غير سعودي,15
1446,2025,جازان,عالمي وأجنبي,أنثى,سعودي,8
1446,2025,جازان,عالمي وأجنبي,أنثى,غير سعودي,12
1446,2025,حائل,حكومي,ذكر,سعودي,5761
1446,2025,حائل,حكومي,ذكر,غير سعودي,307
1446,2025,حائل,حكومي,أنثى,سعودي,5711
1446,2025,حائل,حكومي,أنثى,غير سعودي,267
1446,2025,حائل,أهلي,ذكر,سعودي,441
1446,2025,حائل,أهلي,ذكر,غير سعودي,81
1446,2025,حائل,أهلي,أنثى,سعودي,243
1446,2025,حائل,أهلي,أنثى,غير سعودي,80
1446,2025,حائل,عالمي وأجنبي,ذكر,سعودي,29
1446,2025,حائل,عالمي وأجنبي,ذكر,غير سعودي,7
1446,2025,حائل,عالمي وأجنبي,أنثى,سعودي,18
1446,2025,حائل,عالمي وأجنبي,أنثى,غير سعودي,4
1446,2025,عسير,حكومي,ذكر,سعودي,16989
1446,2025,عسير,حكومي,ذكر,غير سعودي,911
1446,2025,عسير,حكومي,أنثى,سعودي,18129
1446,2025,عسير,حكومي,أنثى,غير سعودي,958
1446,2025,عسير,أهلي,ذكر,سعودي,1550
1446,2025,عسير,أهلي,ذكر,غير سعودي,190
1446,2025,عسير,أهلي,أنثى,سعودي,761
1446,2025,عسير,أهلي,أنثى,غير سعودي,124
1446,2025,عسير,عالمي وأجنبي,ذكر,سعودي,16
1446,2025,عسير,عالمي وأجنبي,ذكر,غير سعودي,29
1446,2025,عسير,عالمي وأجنبي,أنثى,سعودي,9
1446,2025,عسير,عالمي وأجنبي,أنثى,غير سعودي,32
1446,2025,نجران,حكومي,ذكر,سعودي,3800
1446,2025,نجران,حكومي,ذكر,غير سعودي,733
1446,2025,نجران,حكومي,أنثى,سعودي,4904
1446,2025,نجران,حكومي,أنثى,غير سعودي,833
1446,2025,نجران,أهلي,ذكر,سعودي,869
1446,2025,نجران,أهلي,ذكر,غير سعودي,66
1446,2025,نجران,أهلي,أنثى,سعودي,123
1446,2025,نجران,أهلي,أنثى,غير سعودي,34
